year,GEOID,NAME,popE,popM,median_hhincE,median_hhincM,povertyE,povertyM,pop_povertyE,pop_povertyM,median_rentE,median_rentM,median_homeE,median_homeM,whiteE,whiteM,blackE,blackM,hispanicE,hispanicM,asianE,asianM,foreign_bornE,foreign_bornM,survey,giniE,giniM,unempE,unempM,laborforceE,laborforceM,no_hsE,no_hsM,bachelorsE,bachelorsM,pop_25plusE,pop_25plusM,snapE,snapM,snap_totalE,snap_totalM,no_health_insE,no_health_insM
2009,3603710,"PUMA 03710, New York",151652,2787,19016,1055,61087,2500,137725,2587,650,20,333500,21194,3044,522,39896,1823,105399,2786,1033,366,38873,1885,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3603801,"PUMA 03801, New York",212271,3252,36208,1043,53732,2990,208527,3221,926,12,372900,13959,35561,1543,18237,1353,150053,2748,4180,736,102378,2955,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3603802,"PUMA 03802, New York",124136,3015,37192,2431,31646,2524,116408,2728,945,26,581200,45991,33279,1696,31868,1990,49119,2181,6658,819,40612,2050,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3603803,"PUMA 03803, New York",119884,2678,31183,1249,35182,2184,118817,2608,718,14,642700,71431,10892,1179,80098,2170,22341,1582,2499,597,24782,1882,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3603804,"PUMA 03804, New York",122051,3313,30715,1559,38478,2983,120380,3270,658,15,547900,82256,14965,1527,39382,1981,59877,2374,5370,835,28140,1917,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3603805,"PUMA 03805, New York",227153,3068,101482,2235,12055,1319,224996,3035,1748,20,987300,30624,187024,3235,6411,835,12915,1091,17265,1176,46331,1780,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3603806,"PUMA 03806, New York",210075,3525,95261,3156,19702,1775,206458,3506,1500,31,950800,23683,152902,3022,13660,1064,24651,1352,14222,1069,41585,1993,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3603807,"PUMA 03807, New York",143734,3578,80290,2161,18058,2245,138898,3496,1560,47,737900,31617,94802,2741,7982,1284,20575,1249,17207,1210,34400,1419,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3603808,"PUMA 03808, New York",150263,2614,98870,3030,10380,1156,147236,2466,1763,27,692400,20316,115173,2345,3924,669,10434,1001,17867,1150,34424,1684,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3603809,"PUMA 03809, New York",168041,2890,38248,1428,42158,2555,162572,2694,801,21,591300,28410,55600,1895,12243,1243,38887,1743,57534,1928,61547,1733,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
